backend,dag_size,depth,breadth,width,time_us,memo_size,calls,tainted,height
pe_memo_map,28,2,2,40,19,49,58,0,0
pe_memo_ets,28,2,2,40,25,49,58,0,0
pe_memo_pd,28,2,2,40,23,49,58,0,0
pe_memo_map,28,2,2,80,16,49,58,0,0
pe_memo_ets,28,2,2,80,24,49,58,0,0
pe_memo_pd,28,2,2,80,22,49,58,0,0
pe_memo_map,40,3,2,40,39,103,121,0,1
pe_memo_ets,40,3,2,40,71,103,121,0,1
pe_memo_pd,40,3,2,40,33,103,121,0,1
pe_memo_map,40,3,2,80,30,103,121,0,0
pe_memo_ets,40,3,2,80,71,103,121,0,0
pe_memo_pd,40,3,2,80,46,103,121,0,0
pe_memo_map,52,3,3,40,57,158,187,23,8
pe_memo_ets,52,3,3,40,137,158,187,23,8
pe_memo_pd,52,3,3,40,72,158,187,23,8
pe_memo_map,52,3,3,80,60,162,194,23,2
pe_memo_ets,52,3,3,80,174,162,194,23,2
pe_memo_pd,52,3,3,80,81,162,194,23,2
pe_memo_map,52,4,2,40,61,192,223,24,3
pe_memo_ets,52,4,2,40,187,192,223,24,3
pe_memo_pd,52,4,2,40,75,192,223,24,3
pe_memo_map,52,4,2,80,71,195,227,24,1
pe_memo_ets,52,4,2,80,209,195,227,24,1
pe_memo_pd,52,4,2,80,96,195,227,24,1
pe_memo_map,68,4,3,40,73,177,215,28,26
pe_memo_ets,68,4,3,40,298,177,215,28,26
pe_memo_pd,68,4,3,40,70,177,215,28,26
pe_memo_map,68,4,3,80,82,185,229,28,8
pe_memo_ets,68,4,3,80,460,185,229,28,8
pe_memo_pd,68,4,3,80,82,185,229,28,8
pe_memo_map,64,5,2,40,70,210,247,28,7
pe_memo_ets,64,5,2,40,297,210,247,28,7
pe_memo_pd,64,5,2,40,105,210,247,28,7
pe_memo_map,64,5,2,80,77,216,255,28,3
pe_memo_ets,64,5,2,80,369,216,255,28,3
pe_memo_pd,64,5,2,80,113,216,255,28,3
